
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C8:3A:35:31:8E:20, 2014-04-16 09:39:15, 2014-04-16 09:39:18, 11,  54, WPA2WPA , CCMP,PSK, -89,        1,        2,   0.  0.  0.  0,   3, BIG, 
74:EA:3A:D9:58:F8, 2014-04-16 09:39:15, 2014-04-16 09:39:30, 11,  54, WPA2WPA , CCMP TKIP,PSK, -87,       67,        6,   0.  0.  0.  0,   4, Didi, 
00:1B:2F:4B:E8:38, 2014-04-16 09:39:22, 2014-04-16 09:39:29, 11,  54, WPA , TKIP,PSK, -87,        7,        0,   0.  0.  0.  0,   6, Ruter2, 
00:23:CD:11:48:96, 2014-04-16 09:39:15, 2014-04-16 09:39:29, 11,  54, WPA2WPA , CCMP TKIP,PSK, -87,       18,        1,   0.  0.  0.  0,   6, NIKOLA, 
F8:D1:11:52:BA:B2, 2014-04-16 09:39:16, 2014-04-16 09:39:29, 11,  54, WPA2WPA , CCMP,PSK, -86,        5,        0,   0.  0.  0.  0,  16, Ne kradi ke biem, 
D8:5D:4C:F0:3A:BE, 2014-04-16 09:39:15, 2014-04-16 09:39:29, 11,  54, WPA2WPA , CCMP,PSK, -85,       62,        0,   0.  0.  0.  0,   5, valio, 
00:22:3F:12:C2:82, 2014-04-16 09:39:15, 2014-04-16 09:39:30, 11,  54, WPA , TKIP,PSK, -87,      107,        0,   0.  0.  0.  0,   7, Home AP, 
B0:48:7A:BF:EB:F8, 2014-04-16 09:39:25, 2014-04-16 09:39:25, 138,  -1, WPA ,       ,   , -85,        0,        3,   0.  0.  0.  0,   0, , 
00:1E:2A:65:2E:6C, 2014-04-16 09:39:16, 2014-04-16 09:39:26, 13,  54, WPA2, CCMP,PSK, -84,        6,        0,   0.  0.  0.  0,   6, leones, 
A0:F3:C1:76:4F:70, 2014-04-16 09:39:17, 2014-04-16 09:39:29,  9,  54, WPA2, CCMP TKIP,PSK, -83,       11,        0,   0.  0.  0.  0,   8, wildkity, 
74:EA:3A:BF:C0:F8, 2014-04-16 09:39:15, 2014-04-16 09:39:30, 11,  54, WPA2WPA , CCMP TKIP,PSK, -82,      114,      155,   0.  0.  0.  0,  13, Kalina Ilieva, 
C2:3F:0E:29:F7:A5, 2014-04-16 09:39:16, 2014-04-16 09:39:25,  7,  54, WPA2WPA , CCMP TKIP,PSK, -81,        2,        0,   0.  0.  0.  0,  14, NETGEAR_Guest1, 
F8:1A:67:94:47:68, 2014-04-16 09:39:15, 2014-04-16 09:39:30, 11,  54, WPA2, CCMP,PSK, -82,      105,        0,   0.  0.  0.  0,  18, computersupport.bg, 
78:54:2E:F8:A1:04, 2014-04-16 09:39:16, 2014-04-16 09:39:25,  8,  54, WPA2, CCMP TKIP,PSK, -81,        4,        0,   0.  0.  0.  0,   9, HomeSofia, 
00:0F:01:1B:46:08, 2014-04-16 09:39:16, 2014-04-16 09:39:25,  6,  54, WPA2, CCMP TKIP,PSK, -80,        3,        0,   0.  0.  0.  0,   5, steli, 
00:0F:01:1B:46:09, 2014-04-16 09:39:16, 2014-04-16 09:39:25,  6,  54, OPN ,       ,   , -80,        3,        0,   0.  0.  0.  0,   9, NET1 WiFi, 
64:66:B3:BC:7F:88, 2014-04-16 09:39:16, 2014-04-16 09:39:25,  4,  54, WPA2, CCMP,PSK, -78,        3,        0,   0.  0.  0.  0,   6, Nikola, 
68:7F:74:9D:23:AB, 2014-04-16 09:39:15, 2014-04-16 09:39:30, 11,  54, WPA2WPA , TKIP,PSK, -79,      109,        0,   0.  0.  0.  0,   5, sTeFo, 
F8:1A:67:FD:B1:C2, 2014-04-16 09:39:15, 2014-04-16 09:39:25,  1,  54, WPA2WPA , CCMP TKIP,PSK, -76,        1,        0,   0.  0.  0.  0,   4, Andy, 
F8:1A:67:31:98:84, 2014-04-16 09:39:15, 2014-04-16 09:39:25,  1,  54, WPA2WPA , CCMP TKIP,PSK, -73,        3,        0,   0.  0.  0.  0,   9, Vivacom_L, 
74:EA:3A:FF:BE:26, 2014-04-16 09:39:15, 2014-04-16 09:39:25,  1,  54, WPA2WPA , CCMP TKIP,PSK, -73,        4,        0,   0.  0.  0.  0,  14, TP-LINK_FFBE26, 
64:70:02:CD:41:F4, 2014-04-16 09:39:15, 2014-04-16 09:39:25,  1,  54, WPA2WPA , CCMP TKIP,PSK, -66,        5,        0,   0.  0.  0.  0,   6, Evgeni, 
38:22:9D:9B:25:A4, 2014-04-16 09:39:16, 2014-04-16 09:39:25,  3,  54, WPA , CCMP,PSK, -64,        5,        0,   0.  0.  0.  0,  11, VIVACOM_NET, 
F8:D1:11:83:A1:2C, 2014-04-16 09:39:15, 2014-04-16 09:39:30, 11,  54, WPA2, CCMP TKIP,PSK, -63,      129,        0,   0.  0.  0.  0,   9, sashofini, 
90:F6:52:63:96:12, 2014-04-16 09:39:15, 2014-04-16 09:39:25,  1,  54, WPA , TKIP,PSK, -60,        3,        0,   0.  0.  0.  0,   7, monika1, 
00:1D:7E:FB:38:80, 2014-04-16 09:39:15, 2014-04-16 09:39:30, 11,  54, WPA2WPA , CCMP TKIP,PSK, -14,      138,       33,   0.  0.  0.  0,   7, linksys, 
CC:B2:55:F3:DF:24, 2014-04-16 09:39:18, 2014-04-16 09:39:28, 158,  -1, WPA ,       ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
00:25:9C:4B:38:B2, 2014-04-16 09:39:24, 2014-04-16 09:39:24, 158,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

